					
					
Πίνετε αυτό το <L1>τσάι</L1> κρύο, 2-3 φορές τη μέρα πριν από τα γεύματα.	Take 1 teaspoon of pollen, 2 times a day for half an hour before meals.				
Οι σωλήνες από καουτσούκ σιλικόνης με σκληρυνόμενη <N1></N1> έχουν εξαιρετική αντοχή στη θερμότητα, το κρύο, το όζον και το υπεριώδες φως.	Platinum cured silicone rubber tubes have excellent resistance to heat, cold, ozone and UV light.				
FALSE					
					
Ανάλυση τεχνικών με αντίστροφη <L1>ώσμωση</L1> και οι χρήσεις της στη μαγειρική	Analyze anti- griddle techniques and their utility	διαπίδυση ώσμωση			
Ανάλυση τεχνικών με αντίστροφη <N1></N1> και οι χρήσεις της στη μαγειρική	Analyze anti- griddle techniques and their utility				
FALSE					
					
Η <L1>παιδίατρος</L1> Κατερίνα Κατσιμπάρδη προσφέρει μια σειρά ποιοτικών Υπηρεσιών που περιλαμβάνουν: Προγεννητική	Pediatrician Katerina Katsibardi offers a range of quality services that include: Prenatal				
Η <N1></N1> Κατερίνα Κατσιμπάρδη προσφέρει μια σειρά ποιοτικών Υπηρεσιών που περιλαμβάνουν: Προγεννητική	Pediatrician Katerina Katsibardi offers a range of quality services that include: Prenatal				
FALSE					
					
Συχνά, η Ευρώπη συζητά τις αξίες ως κάλυψη των δικών της σφαλμάτων, η συζήτηση για την κλιματική αλλαγή αποκρύπτει ότι είμαστε ένας από τους μεγαλύτερους ρυπαίνοντες στον κόσμο, η συζήτηση για την ειρήνη αποκρύπτει ότι είμαστε ένας από τους μεγαλύτερους εμπόρους όπλων και ο <L1>σκεπτικισμός</L1> που εκφράζουμε για τον αυταρχισμό που επικρατεί σε μεγάλο μέρος του κόσμου κρύβει το δικό μας δημοκρατικό έλλειμμα.	Often Europe debates on values as a cover for its own faults, the debate for climate change hides that we are one of the biggest polluters in the world, the debate for peace hides that we are one of the biggest arms dealers, and the skepticism we express about the authoritarianism that prevails in much of the world hides our own democratic deficit.	δυσπιστία σκεπτικισμός			
Συχνά, η Ευρώπη συζητά τις αξίες ως κάλυψη των δικών της σφαλμάτων, η συζήτηση για την κλιματική αλλαγή αποκρύπτει ότι είμαστε ένας από τους μεγαλύτερους ρυπαίνοντες στον κόσμο, η συζήτηση για την ειρήνη αποκρύπτει ότι είμαστε ένας από τους μεγαλύτερους εμπόρους όπλων και ο <N1></N1> που εκφράζουμε για τον αυταρχισμό που επικρατεί σε μεγάλο μέρος του κόσμου κρύβει το δικό μας δημοκρατικό έλλειμμα.	Often Europe debates on values as a cover for its own faults, the debate for climate change hides that we are one of the biggest polluters in the world, the debate for peace hides that we are one of the biggest arms dealers, and the skepticism we express about the authoritarianism that prevails in much of the world hides our own democratic deficit.				
FALSE					
					
Να μας κάνουν μάσκες για μουσεία, <L1>κλόουν</L1> στις γιορτές, έρευνα αρχαιολογίας...	They want to turn us into masks for museums, clowns at parties, research for archaeologists…	κλόουν παλιάτσος			
Να μας κάνουν μάσκες για μουσεία, <N1></N1> στις γιορτές, έρευνα αρχαιολογίας...	They want to turn us into masks for museums, clowns at parties, research for archaeologists…				
FALSE					
					
Το Μητρώο Εμβολιασμών και το διαβατήριο ανοσίας είναι κάτι που μελετάται επισήμως εδώ και τρία χρόνια από την Ευρωπαϊκή Επιτροπή (το μη εκλεγμένο <L1>διευθυντήριο</L1> της ΕΕ).	The goal of a common Vaccination Record and of  immunity passport  has been under official planning for three years now by the European Commission (the non-elected Directory of the EU).				
Το Μητρώο Εμβολιασμών και το διαβατήριο ανοσίας είναι κάτι που μελετάται επισήμως εδώ και τρία χρόνια από την Ευρωπαϊκή Επιτροπή (το μη εκλεγμένο <N1></N1> της ΕΕ).	The goal of a common Vaccination Record and of  immunity passport  has been under official planning for three years now by the European Commission (the non-elected Directory of the EU).				
FALSE					
					
Προσθέτω το βούτυρο και το <L1>εστραγκόν</L1> και μαγειρεύω για άλλα 2 λεπτά	Sprinkle mushrooms with flour, mix-well and cook for 2 minutes.				
Προσθέτω το βούτυρο και το <N1></N1> και μαγειρεύω για άλλα 2 λεπτά	Sprinkle mushrooms with flour, mix-well and cook for 2 minutes.				
FALSE					
					
Δυστυχώς ήταν αδύνατο να βρούμε κάποιον, αλλά χρησιμοποιήσαμε [σ.σ.: δοκιμάστηκαν συνδυασμοί] ασκό, φυσούνα και <L1>μπουρί</L1> για να προσομοιάσουμε τον ήχο του.	Unfortunately it proved impossible to get hold of one, but we used bagpipe chanters and a blown reed to get an approximation.				
Δυστυχώς ήταν αδύνατο να βρούμε κάποιον, αλλά χρησιμοποιήσαμε [σ.σ.: δοκιμάστηκαν συνδυασμοί] ασκό, φυσούνα και <N1></N1> για να προσομοιάσουμε τον ήχο του.	Unfortunately it proved impossible to get hold of one, but we used bagpipe chanters and a blown reed to get an approximation.				
FALSE					
					
Εισέρχονται εις <L1>νέον</L1> στάδιον αγώνος, εις την πνευματικήν παλαίστραν των μαρτύρων της Εκκλησίας μας.	They enter into a new arena of struggles - in the spiritual arena of the martyrs of our Church.				
Εισέρχονται εις <N1></N1> στάδιον αγώνος, εις την πνευματικήν παλαίστραν των μαρτύρων της Εκκλησίας μας.	They enter into a new arena of struggles - in the spiritual arena of the martyrs of our Church.				
FALSE					
					
Με δοκιμές σε ακραίες συνθήκες, τα <L1>αμορτισέρ</L1> αυτά ικανοποιούν τις υψηλότερες απαιτήσεις εκτός δρόμου όσον αφορά την ασφάλεια, τη σταθερότητα και την πρόσφυση.	Tested under extreme conditions, these dampers satisfy the highest offroad demands with regards to safety, stability and grip.				
Με δοκιμές σε ακραίες συνθήκες, τα <N1></N1> αυτά ικανοποιούν τις υψηλότερες απαιτήσεις εκτός δρόμου όσον αφορά την ασφάλεια, τη σταθερότητα και την πρόσφυση.	Tested under extreme conditions, these dampers satisfy the highest offroad demands with regards to safety, stability and grip.				
FALSE					
					
Το 1597 ο Καρδινάλιος Ντελ Μόντε, ένας διπλωμάτης και <L1>μαικήνας</L1> των τεχνών, προσέλαβε τον Καραβάτζο, που τότε ήταν λίγο πάνω από τα 20, για να ζωγραφίσει το ταβάνι ενός μικρού δωματίου στον πρώτο όροφο.	In 1597 Cardinal Del Monte, a diplomat and art patron, commissioned Caravaggio, then in his early twenties, to paint the ceiling of a small room on the first floor which he used as his alchemy laboratory.				
Το 1597 ο Καρδινάλιος Ντελ Μόντε, ένας διπλωμάτης και <N1></N1> των τεχνών, προσέλαβε τον Καραβάτζο, που τότε ήταν λίγο πάνω από τα 20, για να ζωγραφίσει το ταβάνι ενός μικρού δωματίου στον πρώτο όροφο.	In 1597 Cardinal Del Monte, a diplomat and art patron, commissioned Caravaggio, then in his early twenties, to paint the ceiling of a small room on the first floor which he used as his alchemy laboratory.				
FALSE					
					
Όταν γυμνάζεστε, χρησιμοποιώντας <L1>ταλκ</L1> σε σκόνη μπορείτε να αυξήσετε σε μεγάλο βαθμό την τριβή ανάμεσα στην παλάμη σας και στον εξοπλισμό, αυξάνοντας έτσι τη δύναμη της λαβής, χωρίς να προκαλείται ολίσθηση στα χέρια.	When you work out, using talcum powder can greatly increase the friction between your palm and the equipment, thus increasing grip strength and not causing slippery hands.				
Όταν γυμνάζεστε, χρησιμοποιώντας <N1></N1> σε σκόνη μπορείτε να αυξήσετε σε μεγάλο βαθμό την τριβή ανάμεσα στην παλάμη σας και στον εξοπλισμό, αυξάνοντας έτσι τη δύναμη της λαβής, χωρίς να προκαλείται ολίσθηση στα χέρια.	When you work out, using talcum powder can greatly increase the friction between your palm and the equipment, thus increasing grip strength and not causing slippery hands.				
FALSE					
					
Στα χρόνια που ακολούθησαν κάναμε 19 εκτεταμένες περιοδείες στην Αμερική και τον Καναδά, δίνοντας εκατοντάδες <L1>ρεσιτάλ</L1> και κονσέρτα με ορχήστρες.	During these years, we made 19 tours of the United States and Canada, playing hundreds of recitals and concerts with orchestras.				
Στα χρόνια που ακολούθησαν κάναμε 19 εκτεταμένες περιοδείες στην Αμερική και τον Καναδά, δίνοντας εκατοντάδες <N1></N1> και κονσέρτα με ορχήστρες.	During these years, we made 19 tours of the United States and Canada, playing hundreds of recitals and concerts with orchestras.				
FALSE					
					
Ειδικότερα, η <L1>ανοξία</L1> κατά τον τοκετό, είναι η συχνότερη αιτία Εγκεφαλικής Παράλυσης.	Below are some common symptoms of cerebral palsy.				
Ειδικότερα, η <N1></N1> κατά τον τοκετό, είναι η συχνότερη αιτία Εγκεφαλικής Παράλυσης.	Below are some common symptoms of cerebral palsy.				
FALSE					
					
Ήταν το 1994 όταν άνοιξε τις πόρτες του ανάμεσα στους ήχους από τα καράβια που φεύγουν και τους γλάρους, στις μυρωδιές της θάλασσας και σε όλες τις πιθανές αποχρώσεις του μπλε, από το μπλε- <L1>μαβί</L1> του ουρανού που σουρουπώνει μέχρι το άσπρο- γαλάζιο της φουρτουνιασμένης θάλασσας.	It was 1994 when it opened its doors, on the one side echoing the whistles of the passing ships and the seabirds, on the other side inhaling the sea breeze and looking at all possible shades of blue – from blue-mauve of the sky just before darkness to white-blue of the rough sea.				
Ήταν το 1994 όταν άνοιξε τις πόρτες του ανάμεσα στους ήχους από τα καράβια που φεύγουν και τους γλάρους, στις μυρωδιές της θάλασσας και σε όλες τις πιθανές αποχρώσεις του μπλε, από το μπλε- <N1></N1> του ουρανού που σουρουπώνει μέχρι το άσπρο- γαλάζιο της φουρτουνιασμένης θάλασσας.	It was 1994 when it opened its doors, on the one side echoing the whistles of the passing ships and the seabirds, on the other side inhaling the sea breeze and looking at all possible shades of blue – from blue-mauve of the sky just before darkness to white-blue of the rough sea.				
FALSE					
					
Το <L1>περίστροφο</L1> με το οποίο πυροβολήθηκε, ανήκε στον ίδιο φίλο και ιδιοκτήτη του σπιτιού.	The revolver with which he was shot belonged to the same friend and owner of the house.				
Το <N1></N1> με το οποίο πυροβολήθηκε, ανήκε στον ίδιο φίλο και ιδιοκτήτη του σπιτιού.	The revolver with which he was shot belonged to the same friend and owner of the house.				
FALSE					
					
Μπομπονιέρα βάπτισης, υφασμάτινο πουγκί μπλε με λευκό <L1>πουά</L1> και λευκό ξύλινο αλογάκι	Christening favors, blue fabric pouch with white polka dots and white wooden pony				
Μπομπονιέρα βάπτισης, υφασμάτινο πουγκί μπλε με λευκό <N1></N1> και λευκό ξύλινο αλογάκι	Christening favors, blue fabric pouch with white polka dots and white wooden pony				
FALSE					
					
-Να διερευνήσουν τη <L1>θερμοδυναμική</L1> των στερεών διαλυμάτων και την ερμηνεία των αντίστοιχων διαγραμμάτων φάσεων δυαδικών κραμάτων.	-To explore the thermodynamics of solid solutions and the interpretation of phase diagrams of binary alloys.				
-Να διερευνήσουν τη <N1></N1> των στερεών διαλυμάτων και την ερμηνεία των αντίστοιχων διαγραμμάτων φάσεων δυαδικών κραμάτων.	-To explore the thermodynamics of solid solutions and the interpretation of phase diagrams of binary alloys.				
FALSE					
					
Με την <L1>φριτέζα</L1> αέρος, έχετε τη δυνατότητα να τηγανίζετε και να ψήνετε τα πιο νόστιμα σνακ και γεύματα με λιγότερα λιπαρά σε σχέση με τις συμβατικές φριτέζες, χρησιμοποιώντας ελάχιστο ή καθόλου λάδι.	You can cook food quickly (under 30 minutes) because there's no oil in the fryer, and a built-in fan circulates heat throughout the fryer, making it ideal for frozen foods.				
Με την <N1></N1> αέρος, έχετε τη δυνατότητα να τηγανίζετε και να ψήνετε τα πιο νόστιμα σνακ και γεύματα με λιγότερα λιπαρά σε σχέση με τις συμβατικές φριτέζες, χρησιμοποιώντας ελάχιστο ή καθόλου λάδι.	You can cook food quickly (under 30 minutes) because there's no oil in the fryer, and a built-in fan circulates heat throughout the fryer, making it ideal for frozen foods.				
FALSE					
					
Θα μπορούσα να το αφήσω εδώ, αλλά μιας και η ερώτηση άπτεται της αισθητικής θεωρίας, θα δώσω και πάλι τον λόγο στον παραλίγο μαέστρο από το 'Τρεις στις Πέντε', τον <L1>εστέτ</L1> της παρέας.	I could leave it here but as the question has to do with aesthetics, let me once again cite the words of the  almost conductor  from  Three out of five , as he is the aspiring aesthete of the band.				
Θα μπορούσα να το αφήσω εδώ, αλλά μιας και η ερώτηση άπτεται της αισθητικής θεωρίας, θα δώσω και πάλι τον λόγο στον παραλίγο μαέστρο από το 'Τρεις στις Πέντε', τον <N1></N1> της παρέας.	I could leave it here but as the question has to do with aesthetics, let me once again cite the words of the  almost conductor  from  Three out of five , as he is the aspiring aesthete of the band.				
FALSE					
					
Έχοντας πολλά χιλιόμετρα στο <L1>ταξίμετρο</L1> σου θα γίνεις γρήγορα ένας επαγγελματίας ταρίφας!	With enough miles on your odometer, you'll become a professional cab driver!				
Έχοντας πολλά χιλιόμετρα στο <N1></N1> σου θα γίνεις γρήγορα ένας επαγγελματίας ταρίφας!	With enough miles on your odometer, you'll become a professional cab driver!				
FALSE					
					
Σε αυτήν την περίπτωση, ακολουθεί <L1>αντιβιόγραμμα</L1> με λίστα αντιβιοτικών ουσιών στις οποίες είναι ευαίσθητος ο μικροοργανισμός.	In this case, an antibiogram follows with a list of antibiotic agents to which the microorganism is sensitive.				
Σε αυτήν την περίπτωση, ακολουθεί <N1></N1> με λίστα αντιβιοτικών ουσιών στις οποίες είναι ευαίσθητος ο μικροοργανισμός.	In this case, an antibiogram follows with a list of antibiotic agents to which the microorganism is sensitive.				
FALSE					
					
Πρόκειται να χρησιμοποιήσουμε το εργαλείο κουβά γεμίσματος με χρώμα <L1>ματζέντα</L1> και κατώφλι ορισμένο στο 15.	We are going to use the Bucket-fill tool with the magenta color and a Threshold set to 15.				
Πρόκειται να χρησιμοποιήσουμε το εργαλείο κουβά γεμίσματος με χρώμα <N1></N1> και κατώφλι ορισμένο στο 15.	We are going to use the Bucket-fill tool with the magenta color and a Threshold set to 15.				
FALSE					
					
Από το <L1>πόστο</L1> του δεν επέτρεπε καμιά αδικία και με το κύρος του περιόριζε οποιαδήποτε επέμβαση των ισχυρών χωρών της πάλης, όπως ήταν η ΕΣΣΔ, η Τουρκία, οι ΗΠΑ κ.λ.π.	From his post he permitted no injustice and with his prestige he limited any interference from the powers of wrestling as USSR, Turkey, USA etc.				
Από το <N1></N1> του δεν επέτρεπε καμιά αδικία και με το κύρος του περιόριζε οποιαδήποτε επέμβαση των ισχυρών χωρών της πάλης, όπως ήταν η ΕΣΣΔ, η Τουρκία, οι ΗΠΑ κ.λ.π.	From his post he permitted no injustice and with his prestige he limited any interference from the powers of wrestling as USSR, Turkey, USA etc.				
FALSE					
					
Μια <L1>παπαρούνα</L1> κατακόκκινη σαν φλόγα και χιλιάδες μαξιλάρια που έχουν κατασκευαστεί με σκοπό να στερήσουν τον κόσμο από τα όνειρά του.	A flame-red poppy and thousands of pillows made to deprive the world of its dreams.				
Μια <N1></N1> κατακόκκινη σαν φλόγα και χιλιάδες μαξιλάρια που έχουν κατασκευαστεί με σκοπό να στερήσουν τον κόσμο από τα όνειρά του.	A flame-red poppy and thousands of pillows made to deprive the world of its dreams.				
FALSE					
					
Ωστόσο, ορισμένα τυριά, όπως το τσένταρ και το <L1>ροκφόρ</L1> είναι φορτωμένα με κορεσμένα λίπη και υψηλές θερμίδες.	Also, eggs are loaded with vitamins and acids. They are the most vital muscle-building foods.				
Ωστόσο, ορισμένα τυριά, όπως το τσένταρ και το <N1></N1> είναι φορτωμένα με κορεσμένα λίπη και υψηλές θερμίδες.	Also, eggs are loaded with vitamins and acids. They are the most vital muscle-building foods.				
FALSE					
					
Και στην περίπτωση που σκέφτεστε ότι σαν χρώμα μπορεί να σας δεσμεύσει ή να σας περιορίσει μπορούμε να σας εγγυηθούμε ότι στην πραγματικότητα θα συμβεί το αντίθετο, αφού φαινομενικά δύσκολοι συνδυασμοί, όπως με το κόκκινο, το λιλά, το <L1>σιέλ</L1> ή το φυστικί μπορούν να επιφέρουν όχι ένα απλά ενδιαφέρον αλλά και ένα απόλυτα αρμονικό αποτέλεσμα.	In case you think that this color will limit your choices when creating an outfit, we can guarantee that it's totally the opposite. The seemingly difficult combinations with colors such as red, lilac or light blue can lead to interesting and harmonious results.				
Και στην περίπτωση που σκέφτεστε ότι σαν χρώμα μπορεί να σας δεσμεύσει ή να σας περιορίσει μπορούμε να σας εγγυηθούμε ότι στην πραγματικότητα θα συμβεί το αντίθετο, αφού φαινομενικά δύσκολοι συνδυασμοί, όπως με το κόκκινο, το λιλά, το <N1></N1> ή το φυστικί μπορούν να επιφέρουν όχι ένα απλά ενδιαφέρον αλλά και ένα απόλυτα αρμονικό αποτέλεσμα.	In case you think that this color will limit your choices when creating an outfit, we can guarantee that it's totally the opposite. The seemingly difficult combinations with colors such as red, lilac or light blue can lead to interesting and harmonious results.				
FALSE					
					
Το έλαιο γιασεμιού θεωρείται ο βασιλιάς των ελαίων , ενώ στο <L1>γιασεμί</L1> έχουν αποδοθεί ιδιαίτερες ονομασίες από πολλούς λαούς και πολιτισμούς της Γής, λόγω του γλυκού, εξαίσιου και μοναδικού αρώματος του, που μας τυλίγει συνήθως μετά τη δύση του ήλιου όταν απλώνεται δυνατά αλλά και νωχελικά στον αέρα.	Jasmine oil is considered to be the  king of oils , while jasmine has taken on different names from different cultures, due to the sweet,exquisite and unique aroma it has, which usually comes alive after sunset and spreads through the atmosphere.				
Το έλαιο γιασεμιού θεωρείται ο βασιλιάς των ελαίων , ενώ στο <N1></N1> έχουν αποδοθεί ιδιαίτερες ονομασίες από πολλούς λαούς και πολιτισμούς της Γής, λόγω του γλυκού, εξαίσιου και μοναδικού αρώματος του, που μας τυλίγει συνήθως μετά τη δύση του ήλιου όταν απλώνεται δυνατά αλλά και νωχελικά στον αέρα.	Jasmine oil is considered to be the  king of oils , while jasmine has taken on different names from different cultures, due to the sweet,exquisite and unique aroma it has, which usually comes alive after sunset and spreads through the atmosphere.				
FALSE					
					
Για τον δεξιόχειρα παίχτη το <L1>ρεβέρ</L1> είναι το χτύπημα που ξεκινά από την αριστερή πλευρά του κορμού, συνεχίζει μπροστά στον κορμό του ενώ γίνεται η επαφή με την μπάλα, και τελειώνει με το χέρι στην δεξιά πλευρά του κορμού του.	Backhand For right-handed players, the backhand is a stroke that begins on the left side of their body, continues across their body as contact is made with the ball, and ends on the right side of their body.				
Για τον δεξιόχειρα παίχτη το <N1></N1> είναι το χτύπημα που ξεκινά από την αριστερή πλευρά του κορμού, συνεχίζει μπροστά στον κορμό του ενώ γίνεται η επαφή με την μπάλα, και τελειώνει με το χέρι στην δεξιά πλευρά του κορμού του.	Backhand For right-handed players, the backhand is a stroke that begins on the left side of their body, continues across their body as contact is made with the ball, and ends on the right side of their body.				
FALSE					
					
Το <L1>ιστόγραμμα</L1> επικαλύπτει τα ιστογράμματα κόκκινου, πράσινου και γαλάζιου στο ιστόγραμμα τιμής και υπολογίζει το ιστόγραμμα μόνο για τα περιεχόμενα της επιλογής.	Histogram overlays R, G and B histograms on the Value histogram, and calculates the histogram only for the contents of the selection.				
Το <N1></N1> επικαλύπτει τα ιστογράμματα κόκκινου, πράσινου και γαλάζιου στο ιστόγραμμα τιμής και υπολογίζει το ιστόγραμμα μόνο για τα περιεχόμενα της επιλογής.	Histogram overlays R, G and B histograms on the Value histogram, and calculates the histogram only for the contents of the selection.				
FALSE					
					
Το νέο στοιχείο της περιόδου αυτής ήταν η αυτονόμηση της λατρείας των προσωποποιημένων ιδεών από το <L1>πάνθεον</L1> του Ολύμπου και η αριθμητική τους αύξηση.	What was new was the freeing up of the specific cult from the Olympian pantheon, and the proliferation of such cults.				
Το νέο στοιχείο της περιόδου αυτής ήταν η αυτονόμηση της λατρείας των προσωποποιημένων ιδεών από το <N1></N1> του Ολύμπου και η αριθμητική τους αύξηση.	What was new was the freeing up of the specific cult from the Olympian pantheon, and the proliferation of such cults.				
FALSE					
					
Απλά, ΔΕΝ ΕΙΝΑΙ ολογραφία ή -μάλλον- μόνο κατ' όνομα μιας και η ολογραφία σαν <L1>σοφιστικέ</L1> όρος μοιάζει να 'πουλάει'.	Simply, this is NOT holography -or better say- only by name since 'holography' as a seemingly more sophisticated term appears to enhance commercial attraction.				
Απλά, ΔΕΝ ΕΙΝΑΙ ολογραφία ή -μάλλον- μόνο κατ' όνομα μιας και η ολογραφία σαν <N1></N1> όρος μοιάζει να 'πουλάει'.	Simply, this is NOT holography -or better say- only by name since 'holography' as a seemingly more sophisticated term appears to enhance commercial attraction.				
FALSE					
					
Εάν η σακούλα λερωθεί, μπορείτε να αφαιρέσετε με ασφάλεια τους περισσότερους λεκέδες με οξυγονούχο λευκαντικό ή να φτιάξετε το δικό σας φιλικό προς το περιβάλλον διάλυμα αφαίρεσης λεκέδων με 1 φλιτζάνι <L1>οξυζενέ</L1> 3% και 2 κουταλιές της σούπας σόδα πλύσης (Ανθρακική σόδα).	If the bag gets dirty, you can safely remove most stains with oxygenated bleach or make your own environmentally friendly stain remover solution with 1 cup of 3% peroxide and 2 tablespoons of washing soda (Soda ash).				
Εάν η σακούλα λερωθεί, μπορείτε να αφαιρέσετε με ασφάλεια τους περισσότερους λεκέδες με οξυγονούχο λευκαντικό ή να φτιάξετε το δικό σας φιλικό προς το περιβάλλον διάλυμα αφαίρεσης λεκέδων με 1 φλιτζάνι <N1></N1> 3% και 2 κουταλιές της σούπας σόδα πλύσης (Ανθρακική σόδα).	If the bag gets dirty, you can safely remove most stains with oxygenated bleach or make your own environmentally friendly stain remover solution with 1 cup of 3% peroxide and 2 tablespoons of washing soda (Soda ash).				
FALSE					
					
Στην άμαξα Ε΄ σώζονται ορισμένα αντικείμενα τα οποία για άγνωστο λόγο δεν τοποθετήθηκαν στις ταφές των νεκρών. Πρόκειται για δύο χάλκινους αμφορείς με σφαιρικό σώμα και λαβές που απολήγουν σε μάσκες παπποσειληνών και για τέσσερα γυάλινα αγγεία τετράγωνης διατομής, τοποθετημένα μέσα σε ξύλινο κιβωτίδιο. Διατηρήθηκαν επίσης τα μεταλλικά στοιχεία από το <L1>καπίστρι</L1> (φορβειά) και το χαλινάρι των αλόγων, η μολύβδινη επένδυση από τα άκρα του ζυγού και πολλά άλλα χάλκινα και σιδερένια εξαρτήματα.	Beside the pits, which contained the remains of the cremation and the grave goods, were buried the five wagons which had brought them to this location along with their draft teams and a further five horses. In various parts of the tumulus, broken vessels, ashes and animal bones were found, the remains of rituals which took place in honour of the dead during the course of construction of the tumulus.				
Στην άμαξα Ε΄ σώζονται ορισμένα αντικείμενα τα οποία για άγνωστο λόγο δεν τοποθετήθηκαν στις ταφές των νεκρών. Πρόκειται για δύο χάλκινους αμφορείς με σφαιρικό σώμα και λαβές που απολήγουν σε μάσκες παπποσειληνών και για τέσσερα γυάλινα αγγεία τετράγωνης διατομής, τοποθετημένα μέσα σε ξύλινο κιβωτίδιο. Διατηρήθηκαν επίσης τα μεταλλικά στοιχεία από το <N1></N1> (φορβειά) και το χαλινάρι των αλόγων, η μολύβδινη επένδυση από τα άκρα του ζυγού και πολλά άλλα χάλκινα και σιδερένια εξαρτήματα.	Beside the pits, which contained the remains of the cremation and the grave goods, were buried the five wagons which had brought them to this location along with their draft teams and a further five horses. In various parts of the tumulus, broken vessels, ashes and animal bones were found, the remains of rituals which took place in honour of the dead during the course of construction of the tumulus.				
FALSE					
					
Ο Ερνέστο που παίζοντας <L1>ράγκμπι</L1> είχε μάθει να αναπνέει περισσότερο απ'όσο άντεχε το σώμα του, προφανώς δεν ήταν ο τύπος του ανθρώπου που όλη αυτή την εμπειρία δε θα τη μετέτρεπε αρχικά σε γνώση και μετ' έπειτα σε δράση.	Ernesto, who learned to breath more than he could, when he played rugby, wasn't obviously the man who wouldn't transform this experience into revolutionary action.				
Ο Ερνέστο που παίζοντας <N1></N1> είχε μάθει να αναπνέει περισσότερο απ'όσο άντεχε το σώμα του, προφανώς δεν ήταν ο τύπος του ανθρώπου που όλη αυτή την εμπειρία δε θα τη μετέτρεπε αρχικά σε γνώση και μετ' έπειτα σε δράση.	Ernesto, who learned to breath more than he could, when he played rugby, wasn't obviously the man who wouldn't transform this experience into revolutionary action.				
FALSE					
					
9 = μπροστινή <L1>περσίδα</L1> διάχυσης του ζεστού αέρα στο χώρο λειτουργίας	9 = front grille for delivering hot air to the room				
9 = μπροστινή <N1></N1> διάχυσης του ζεστού αέρα στο χώρο λειτουργίας	9 = front grille for delivering hot air to the room				
FALSE					
					
Με τον Μηχανισμό για Λάμπα Νο11 μπορείτε να ρυθμίσετε το μέγεθος από το <L1>φιτίλι</L1> για να έχετε την φλόγα που σας αρέσει. Ο Μηχανισμός για Λάμπα Νο11 έχει σχεδιαστεί για να ταιριάζει τέλεια στην Λάμπα Πετρελαίου Γυάλινη Νο11 με μεταλλικό Ανακλαστήρα και στην Λάμπα Πετρελαίου Γυάλινη Νο11 με Καθρέφτη.	The Wick for Oil Lamp No11 burned without smoke. The Wick for Oil Lamp No11 is ideal for the Oil Lamp No11 with Mirror, for the Oil Lamp No11 with metallic Reflector, for the Oil Lamp Eagle with Mirror and for the Oil Lamp Eagle with metallic Reflector.				
Με τον Μηχανισμό για Λάμπα Νο11 μπορείτε να ρυθμίσετε το μέγεθος από το <N1></N1> για να έχετε την φλόγα που σας αρέσει. Ο Μηχανισμός για Λάμπα Νο11 έχει σχεδιαστεί για να ταιριάζει τέλεια στην Λάμπα Πετρελαίου Γυάλινη Νο11 με μεταλλικό Ανακλαστήρα και στην Λάμπα Πετρελαίου Γυάλινη Νο11 με Καθρέφτη.	The Wick for Oil Lamp No11 burned without smoke. The Wick for Oil Lamp No11 is ideal for the Oil Lamp No11 with Mirror, for the Oil Lamp No11 with metallic Reflector, for the Oil Lamp Eagle with Mirror and for the Oil Lamp Eagle with metallic Reflector.				
FALSE					
					
Μόλις κάψει, ρίχνουμε λίγο ελαιόλαδο, το <L1>κουνουπίδι</L1> και το σοτάρουμε για περίπου 1-2 λεπτά.	Saute for about 5-10 minutes until the vegetables soften up. Add the curry and rosemary.				
Μόλις κάψει, ρίχνουμε λίγο ελαιόλαδο, το <N1></N1> και το σοτάρουμε για περίπου 1-2 λεπτά.	Saute for about 5-10 minutes until the vegetables soften up. Add the curry and rosemary.				
FALSE					
					
Ο Δρ Δημήτριος Βασιλειάδης, πρόεδρος της Ελληνο-Ινδικής Εταιρείας Πολιτισμού και Ανάπτυξης (ΕΛΙΝΕΠΑ), μίλησε για την εμπειρία του κατά τη διάρκεια του τελευταίου ταξιδιού του στην Ινδία, όπου παρακολούθησε το Διεθνές Βουδιστικό <L1>κονκλάβιο</L1> που διοργανώθηκε από το Ινδικό Υπουργείο Τουρισμού τον περασμένο Σεπτέμβριο.	Dr. Dimitrios Vassiliadis, chairman of the Hellenic-Indian Society for Culture & Development (ELINEPA), spoke about his experience during his latest tour to India where he attended the International Buddhist Conclave organized by the Indian Ministry of Tourism last September.				
Ο Δρ Δημήτριος Βασιλειάδης, πρόεδρος της Ελληνο-Ινδικής Εταιρείας Πολιτισμού και Ανάπτυξης (ΕΛΙΝΕΠΑ), μίλησε για την εμπειρία του κατά τη διάρκεια του τελευταίου ταξιδιού του στην Ινδία, όπου παρακολούθησε το Διεθνές Βουδιστικό <N1></N1> που διοργανώθηκε από το Ινδικό Υπουργείο Τουρισμού τον περασμένο Σεπτέμβριο.	Dr. Dimitrios Vassiliadis, chairman of the Hellenic-Indian Society for Culture & Development (ELINEPA), spoke about his experience during his latest tour to India where he attended the International Buddhist Conclave organized by the Indian Ministry of Tourism last September.				
FALSE					
					
Σήμερα, η <L1>κολεκτίβα</L1> αποτελείται από έντεκα μέλη, καθώς έχει αποχωρήσει ένα αρχικό μέλος και έχουν εισέλθει τέσσερα νέα.	Today the collective has eleven members, with one original member having departed, and four new members having joined.				
