					
					
关于 应用 空间 技术 预防 <L1>和</L1> 对抗 自然灾害 讲习班 报告	APPLICATIONS OF SPACE TECHNIQUES TO PREVENT AND COMBAT NATURAL DISASTERS, ORGANIZED IN COOPERATION				
猶太人 已經 跟 上帝 <L1>立</L1> 了 一個 約 而 他們 從 來 沒 被 基督教 取代 過 .	They will spend a long time in your project and will even share fault when the project fails.	立 站 站立 站起			
猶太人 已經 跟 上帝 <N1></N1> 了 一個 約 而 他們 從 來 沒 被 基督教 取代 過 .	They will spend a long time in your project and will even share fault when the project fails.				
FALSE					
					
他 现在 应该 让 <L1>菲</L1> 奥娜 在 他 肩上 哭泣 吗 ?	‘We knew that there were these risks during the presidential campaign because it happened elsewhere.				
他 现在 应该 让 <N1></N1> 奥娜 在 他 肩上 哭泣 吗 ?	‘We knew that there were these risks during the presidential campaign because it happened elsewhere.				
FALSE					
					
 我 如何 帮助 我 收养 的 狗 减掉 75 <L1>磅</L1> '	While you may think pharmacists are more like technicians, they're actually far more qualified than that.				
 我 如何 帮助 我 收养 的 狗 减掉 75 <N1></N1> '	While you may think pharmacists are more like technicians, they're actually far more qualified than that.				
FALSE					
					
玛丽 <L1>墨菲</L1> 回到 所以 你 认为 你 可以 跳舞	That's nearly three times as much as we spent on the graduating class of 1970.				
玛丽 <N1></N1> 回到 所以 你 认为 你 可以 跳舞	That's nearly three times as much as we spent on the graduating class of 1970.				
FALSE					
					
社会 动荡 未 影响 智利 水果 <L1>出口</L1>	The hair, too, showed the same advantage.	出口 出路 | 出口 外销 输出 | 出口 输出 输出品			
社会 动荡 未 影响 智利 水果 <N1></N1>	The hair, too, showed the same advantage.				
FALSE					
					
这 家伙 有 <L1>雷达</L1> 或 什么 ?	The company’s inherent virtual currency is in principle only deposited into the cold wallet.				
这 家伙 有 <N1>无线电</N1> 或 什么 ?	The company’s inherent virtual currency is in principle only deposited into the cold wallet.				
TRUE					
					
病痛 是 上帝 所給 的 <L1>計劃</L1>	The most successful of these was Midas Gold, incorporated in early 2008.				
病痛 是 上帝 所給 的 <N1></N1>	The most successful of these was Midas Gold, incorporated in early 2008.				
FALSE					
					
錯誤   3   在 <L1>錯</L1> 的 時間 買 鞋	“I hope that my child and my family can ... do something for human beings.				
錯誤   3   在 <N1></N1> 的 時間 買 鞋	“I hope that my child and my family can ... do something for human beings.				
FALSE					
					
经合组织 敦促 <L1>匈牙利</L1> 制定 更高 环境 目标	OECD urges Hungary to set higher environmental goals				
经合组织 敦促 <N1></N1> 制定 更高 环境 目标	OECD urges Hungary to set higher environmental goals				
FALSE					
					
加州 <L1>拉丁</L1> 裔 人 应该 关心 清洁 燃料 的 5 个 原因	5 Reasons California Latinos Should Care About Clean Fuels.				
加州 <N1></N1> 裔 人 应该 关心 清洁 燃料 的 5 个 原因	5 Reasons California Latinos Should Care About Clean Fuels.				
FALSE					
					
吃 和 睡 也 是 坐 <L1>禪</L1> 的 一部分	Eating and sleeping is part of their exercise.				
吃 和 睡 也 是 坐 <N1></N1> 的 一部分	Eating and sleeping is part of their exercise.				
FALSE					
					
但   上帝 賜予 我 舞台   一把 <L1>吉他</L1> 和 一首歌	But God gave me a stage, a guitar and a song.	六弦琴 吉他			
但   上帝 賜予 我 舞台   一把 <N1></N1> 和 一首歌	But God gave me a stage, a guitar and a song.				
FALSE					
					
309 名 <L1>尼加拉瓜</L1> 人 在 75 天 的 反 政府 抗议 活动 中 丧生	309 Nicaraguans Killed in 75 Days of Anti-Government Protests				
309 名 <N1></N1> 人 在 75 天 的 反 政府 抗议 活动 中 丧生	309 Nicaraguans Killed in 75 Days of Anti-Government Protests				
FALSE					
					
<L1>哈里斯</L1> 开始 问 一些 白人 的 问题 在 她 的 调查 : 你 没有 医疗保险 吗 ?	It could not have fallen from above, for these, as you see, are all blank walls.				
<N1></N1> 开始 问 一些 白人 的 问题 在 她 的 调查 : 你 没有 医疗保险 吗 ?	It could not have fallen from above, for these, as you see, are all blank walls.				
FALSE					
					
为什么 每个 女人 都 认为 她 生活 的 目的 就是 有个 丈夫 和 一处 西边 灰色 的 <L1>小屋</L1> ?	But at present Mi Home remains the only way.	寮 小屋 棚子 棚屋 简陋小屋 茅屋 | 小屋 村舍			
为什么 每个 女人 都 认为 她 生活 的 目的 就是 有个 丈夫 和 一处 西边 灰色 的 <N1></N1> ?	But at present Mi Home remains the only way.				
FALSE					
					
更 多 阅读 妇女 政策 行动 <L1>坦克</L1> .	YES, she knows how to make men ‘FEEL SPECIAL’ because she has A LOT of practice USING them to meet her financial needs.	坦克 坦克车			
更 多 阅读 妇女 政策 行动 <N1>装甲车</N1> .	YES, she knows how to make men ‘FEEL SPECIAL’ because she has A LOT of practice USING them to meet her financial needs.				
TRUE					
					
<L1>斯蒂芬</L1> , 难道 你 不 知道 现在 !	Unlike fossil fuels, it is difficult to look for alternatives: People have to eat.				
<N1></N1> , 难道 你 不 知道 现在 !	Unlike fossil fuels, it is difficult to look for alternatives: People have to eat.				
FALSE					
					
你 有 一个 很 性感 的 走 ,   你 不是 一个 时尚 <L1>模特</L1> ?	Also, when you make French Onion Soup or Russian Honey Cake, however you call it, you make it the way that the French or Russians prescribe (in your words).	模特 被画像的人 | 模特 模特儿 | 人体模特 模特			
你 有 一个 很 性感 的 走 ,   你 不是 一个 时尚 <N1>范本</N1> ?	Also, when you make French Onion Soup or Russian Honey Cake, however you call it, you make it the way that the French or Russians prescribe (in your words).	范本			
TRUE					
					
逾 1000 多家 矿业 公司 在 <L1>莫桑比克</L1> 注册	But, as I said before, what matters in life is far more than the right answers and the standard knowledge in textbooks.				
逾 1000 多家 矿业 公司 在 <N1></N1> 注册	But, as I said before, what matters in life is far more than the right answers and the standard knowledge in textbooks.				
FALSE					
					
<L1>引渡</L1> 到 美国 是 一种 滥用 司法 的 行为	It has become famous because it has the capability to transfer fifty million passengers each year.	引渡 移交 驱逐 驱逐出境			
<N1></N1> 到 美国 是 一种 滥用 司法 的 行为	It has become famous because it has the capability to transfer fifty million passengers each year.				
FALSE					
					
<L1>酚</L1> <L2>氨</L2> 咖敏片 (	Even if you earn tens of millions of dollars, you will never know where the next dollar is.	氨 氮 | 氨 氨水 | 氨 氨水 阿摩尼亚			
<N1></N1> <N2></N2> 咖敏片 (	Even if you earn tens of millions of dollars, you will never know where the next dollar is.				
FALSE					
					
事实上 , 媒体 关系 本身 不仅仅 是 关于 新闻稿 , 它 是 在 最 广泛 的 <L1>背景</L1> 下 吗 ?	It's Not a Cowboy Movie (2012)	环境 背景 | 底子 背景 | 背景 背景幕 | 上下文 场合 情况 来龙去脉 环境 背景			
事实上 , 媒体 关系 本身 不仅仅 是 关于 新闻稿 , 它 是 在 最 广泛 的 <N1></N1> 下 吗 ?	It's Not a Cowboy Movie (2012)				
FALSE					
					
聆 聽 <L1>古蘭經</L1>	You don't scare hardworking Americans just to scare up some votes.				
聆 聽 <N1></N1>	You don't scare hardworking Americans just to scare up some votes.				
FALSE					
					
<L1>波</L1> 西米亚 狂想曲 (	Candidates for driving a motorcycle require a theory for 108 hours.	乳房 咪咪 波 胸 胸部 | 波 波浪			
<N1></N1> 西米亚 狂想曲 (	Candidates for driving a motorcycle require a theory for 108 hours.				
FALSE					
					
<L1>大衛</L1> 遵行 了 神 的 旨意	Don’t worry; they’ll like the real you.				
<N1></N1> 遵行 了 神 的 旨意	Don’t worry; they’ll like the real you.				
FALSE					
					
但是 <L1>托尼</L1> 的 车 呢 ?	Despite these concessions, 90 percent of black troops were forced to serve in labor and supply units, rather than the more prestigious combat units.				
但是 <N1></N1> 的 车 呢 ?	Despite these concessions, 90 percent of black troops were forced to serve in labor and supply units, rather than the more prestigious combat units.				
FALSE					
					
你 没 看见 我 已 为 自己 留 了 八十 <L1>法郎</L1> 吗 ?	We regard our incident process as one of the security measures on the Akamai system.				
你 没 看见 我 已 为 自己 留 了 八十 <N1></N1> 吗 ?	We regard our incident process as one of the security measures on the Akamai system.				
FALSE					
					
<L1>公立</L1> 高等教育 可以 再次 改变 加州	We urge our Iraqi partners to remain focused on defeating ISIS/Daesh.				
<N1></N1> 高等教育 可以 再次 改变 加州	We urge our Iraqi partners to remain focused on defeating ISIS/Daesh.				
FALSE					
					
為何 選擇 等待 是 我們 <L1>威士忌</L1> 釀造 過程 中 不可或缺 的 一部分	A man should not love the moon.	威士忌 威士忌酒			
為何 選擇 等待 是 我們 <N1>威士忌</N1> 釀造 過程 中 不可或缺 的 一部分	A man should not love the moon.				
TRUE					
					
二百五十 年來 科學 與 <L1>藝術</L1> 是 她 永恒 不變 的 主題 !	Up to now, Japan has said it won't do any 'wrong' and will wish for peace only.				
二百五十 年來 科學 與 <N1></N1> 是 她 永恒 不變 的 主題 !	Up to now, Japan has said it won't do any 'wrong' and will wish for peace only.				
FALSE					
					
为什么 <L1>洛克菲勒</L1> 家族 欢迎 难民 和 移民	Amateur  investors will become like tweeters and bloggers in the media today;				
为什么 <N1></N1> 家族 欢迎 难民 和 移民	Amateur  investors will become like tweeters and bloggers in the media today;				
FALSE					
					
但 什么 是 经验 , <L1>鸦片</L1> 在 哪里 ?	Find the best people,” he said.				
但 什么 是 经验 , <N1>大烟，罂粟</N1> 在 哪里 ?	Find the best people,” he said.				
TRUE					
					
他 的 <L1>幽默</L1> , 但是 一种 新 的 智慧 出现 了 :	So the usage of nuclear power depends on the attitude of society.	幽默 幽默感 诙谐			
他 的 <N1>有趣</N1> , 但是 一种 新 的 智慧 出现 了 :	So the usage of nuclear power depends on the attitude of society.				
FALSE					
					
全国 <L1>空手道</L1> 战士 成为 五届 世界冠军 [ 照片 / 视频 ]	Your family’s precious – so give them our ultimate protection.				
全国 <N1>空手道</N1> 战士 成为 五届 世界冠军 [ 照片 / 视频 ]	Your family’s precious – so give them our ultimate protection.				
TRUE					
					
为什么 机器人 很快 会 采摘 柔软 的 水果 和 <L1>沙拉</L1>	Like most of the others, he has no roots.	沙拉 色拉			
为什么 机器人 很快 会 采摘 柔软 的 水果 和 <N1>凉菜</N1>	Like most of the others, he has no roots.				
TRUE					
					
该死 的 <L1>迪士尼</L1> 必须 高兴 他们 两个 都 有	He raised an example in the food industry where the Internet can improve the consumer experience.				
该死 的 <N1></N1> 必须 高兴 他们 两个 都 有	He raised an example in the food industry where the Internet can improve the consumer experience.				
FALSE					
					
我 问 , 我们 要 看到 <L1>泰勒</L1> 吗 ?	This process--this extraordinary communication--began in 1992.				
我 问 , 我们 要 看到 <N1></N1> 吗 ?	This process--this extraordinary communication--began in 1992.				
FALSE					
					
敬祝 諸大善 <L1>菩薩</L1> 平安 順心   福慧圓滿   自如 頂禮   <L2>阿彌陀佛</L2>	But since she couldn't have that, she was willing to acknowledge the blessings in her new life.				
敬祝 諸大善 <N1></N1> 平安 順心   福慧圓滿   自如 頂禮   <N2></N2>	But since she couldn't have that, she was willing to acknowledge the blessings in her new life.				
FALSE					
					
疫苗 <L1>注射</L1> 完成 后 的 儿童 / 图片 来自 芝加哥 论坛报	Would it mean that it conforms to your coding standards?	注入 注射			
疫苗 <N1></N1> 完成 后 的 儿童 / 图片 来自 芝加哥 论坛报	Would it mean that it conforms to your coding standards?	打针			
FALSE					
					
他们 没有 给 他们 的 健康 和 他们 的 <L1>理智</L1> , 他们 唯一 的 儿子 会 感到 羞耻 , 你 知道 !	Either way I will continue to pray for him and for God’s mercy!				
他们 没有 给 他们 的 健康 和 他们 的 <N1></N1> , 他们 唯一 的 儿子 会 感到 羞耻 , 你 知道 !	Either way I will continue to pray for him and for God’s mercy!				
FALSE					
					
4 名 国际 学校 学生 被控 在 公园 厕所 使用 <L1>可卡因</L1>	I'm positive I can work effectively on that size screen.	可卡因 柯卡因 | 古柯碱 可卡因			
4 名 国际 学校 学生 被控 在 公园 厕所 使用 <N1>可卡因</N1>	I'm positive I can work effectively on that size screen.				
TRUE					
					
为 那些 希望 探索 为什么 我们 有 的 <L1>拷贝</L1> 是 可靠 的 ,   检查 文章 在 以下 链接 :	By changing your virtual location, you can get the best price.	副本 复制品 拷贝			
为 那些 希望 探索 为什么 我们 有 的 <N1>副本</N1> 是 可靠 的 ,   检查 文章 在 以下 链接 :	By changing your virtual location, you can get the best price.				
TRUE					
					
<L1>斯洛伐克</L1> 成为 第四个 批准 巴黎 协定 的 欧盟 国家	29: 7 Ways to Live a Simpler Life in a Modern World (94)				
<N1></N1> 成为 第四个 批准 巴黎 协定 的 欧盟 国家	29: 7 Ways to Live a Simpler Life in a Modern World (94)				
FALSE					
					
日本 电子 公司 <L1>松下</L1> (	Industrial companies are also using our high pressure compressor system.				
日本 电子 公司 <N1></N1> (	Industrial companies are also using our high pressure compressor system.				
FALSE					
					
<L1>比如</L1> 2008 年 12 月 12 日 可不可以 写成 12 / 12 / 2008 呢 ?	Although Billy is a fictional character, at least four of the other characters in the film were real people from New York of the 1930s.				
<N1></N1> 2008 年 12 月 12 日 可不可以 写成 12 / 12 / 2008 呢 ?	Although Billy is a fictional character, at least four of the other characters in the film were real people from New York of the 1930s.				
FALSE					
					
这项 研究 的 目的 是 回答 , 应该 被 允许 <L1>克隆</L1> 人类 永远 吗 ?	He said federal regulators eventually might prohibit it.				
这项 研究 的 目的 是 回答 , 应该 被 允许 <N1>克隆</N1> 人类 永远 吗 ?	He said federal regulators eventually might prohibit it.				
TRUE					
					
帮助 阻止 <L1>斯坦福</L1> 性侵犯 的 学生 描述 了 他 所 看到 的	There is no shame in seeking help for oneself or others; the only shame is in refusing to provide care and support.				
帮助 阻止 <N1></N1> 性侵犯 的 学生 描述 了 他 所 看到 的	There is no shame in seeking help for oneself or others; the only shame is in refusing to provide care and support.				
FALSE					
					
<L1>克里斯托弗</L1> 让 你 感觉 从 最初 接触 的 欢迎 !	You might think Time Inc. is just a magazine publisher.				
<N1></N1> 让 你 感觉 从 最初 接触 的 欢迎 !	You might think Time Inc. is just a magazine publisher.				
FALSE					
					
南 <L1>撒哈拉</L1> 非洲   6   席 ,   至少 包含 2 位 女性	TJ, please don’t judge women for making that choice or diminish them.				
南 <N1></N1> 非洲   6   席 ,   至少 包含 2 位 女性	TJ, please don’t judge women for making that choice or diminish them.				
FALSE					
					
她 将 以 书面形式 通知 图斯 <L1>克</L1> 总统	Similarly, if you keep thinking the same thoughts, you will continue to invoke the fear reaction you have been dealing with all this time.	克 公克			
她 将 以 书面形式 通知 图斯 <N1></N1> 总统	Similarly, if you keep thinking the same thoughts, you will continue to invoke the fear reaction you have been dealing with all this time.				
FALSE					
					
你 願 意獻出   67 分鐘 去 支持 一個 慈善 <L1>組織</L1> 或 服務 你 的 社區 嗎   ?	In 1917, when the youngest one of his six children was three, his wife left him.				
你 願 意獻出   67 分鐘 去 支持 一個 慈善 <N1></N1> 或 服務 你 的 社區 嗎   ?	In 1917, when the youngest one of his six children was three, his wife left him.				
FALSE					
					
但 <L1>斯科特</L1> 的 母亲 和 女儿 相信 他 没有 这样 做	Tianjin, for example, punished 83 officials for 11 environmental violations.				
但 <N1></N1> 的 母亲 和 女儿 相信 他 没有 这样 做	Tianjin, for example, punished 83 officials for 11 environmental violations.				
FALSE					
					
她 教会 了 他们 所 知道 的 一切   -   他们 都 说 他们 喜欢 来 <L1>芭蕾舞</L1> 课	I understand why there are no volunteers, but the United Nations Security Council will eventually have to address this reality, otherwise Syria will become Afghanistan on the Mediterranean.	舞剧 芭蕾舞			
她 教会 了 他们 所 知道 的 一切   -   他们 都 说 他们 喜欢 来 <N1></N1> 课	I understand why there are no volunteers, but the United Nations Security Council will eventually have to address this reality, otherwise Syria will become Afghanistan on the Mediterranean.				
FALSE					
					
了解 更 多 关于 我们 如何 推动 可 持续 <L1>可可</L1> .	And while you probably haven't heard of her, her inventions have helped to improve the care of the youngest of newborns.				
了解 更 多 关于 我们 如何 推动 可 持续 <N1></N1> .	And while you probably haven't heard of her, her inventions have helped to improve the care of the youngest of newborns.				
FALSE					
					
但 我們 也 開始 觀察 它們 在 特定 情況 下 是 如何 相互 <L1>反應</L1> .	I think it's because $400 should just go up to $500, and usually, I’m unwilling to go that high.				
但 我們 也 開始 觀察 它們 在 特定 情況 下 是 如何 相互 <N1></N1> .	I think it's because $400 should just go up to $500, and usually, I’m unwilling to go that high.				
FALSE					
					
为什么 <L1>里根</L1> 总统 被 枪杀 后 感觉 更好 比 他 以来 的 感觉 吗 ?	Teach them God’s Word (Deut.				
为什么 <N1></N1> 总统 被 枪杀 后 感觉 更好 比 他 以来 的 感觉 吗 ?	Teach them God’s Word (Deut.				
FALSE					
					
2004 - 10   設計 並監制 <L1>紐約</L1> 最大 私家 東方 庭院	What are you doing to reduce your emissions footprint and #BeatAirPollution?				
2004 - 10   設計 並監制 <N1></N1> 最大 私家 東方 庭院	What are you doing to reduce your emissions footprint and #BeatAirPollution?				
FALSE					
					
因为 如果 <L1>解放</L1> 并 不是 延伸 到 这些 地区 从 现在 开始 一百天 , 他们 问 , 当 它 被 扩展 到 他们 吗 ?	The development team of this ROM is working very hard to release the latest versions of it.	恢复自由 解放 释放 | 放出 松开 解放 释放 | 使自由 解放 豁免 释放 | 解放 释放 | 解放 解放运动 | 使自由 使获自由 解放 释放			
因为 如果 <N1></N1> 并 不是 延伸 到 这些 地区 从 现在 开始 一百天 , 他们 问 , 当 它 被 扩展 到 他们 吗 ?	The development team of this ROM is working very hard to release the latest versions of it.				
FALSE					
					
<L1>希伯來</L1> 書   (	“Oh, Pa, that’s such an Old Country notion!”				
<N1></N1> 書   (	“Oh, Pa, that’s such an Old Country notion!”				
FALSE					
					
大多数 踢 <L1>海洛因</L1> 和 可卡因 的 人 都 不得不 放弃 一切	It has been an enormous asset to Berkeley; and a magnet for scholars all over the world.	二乙酰吗啡 海洛因			
大多数 踢 <N1>海洛因</N1> 和 可卡因 的 人 都 不得不 放弃 一切	It has been an enormous asset to Berkeley; and a magnet for scholars all over the world.				
TRUE					
					
外国人 被 问及 他们 是否 认为 英格兰队 将 赢得 2010 年 世界杯   -   那些 不会 开始 <L1>歇斯底里</L1> 地笑 的 人 将 被 送 回家	“All of those things are to some extent estimates.	发脾气 歇斯底里			
外国人 被 问及 他们 是否 认为 英格兰队 将 赢得 2010 年 世界杯   -   那些 不会 开始 <N1>疯狂，神经质</N1> 地笑 的 人 将 被 送 回家	“All of those things are to some extent estimates.				
TRUE					
					
烟草 ( 和 其他 <L1>尼古丁</L1> 产品 )	I’ve only served one term in the Senate — but I’ve seen what’s happening.	尼古丁 烟碱			
烟草 ( 和 其他 <N1>尼古丁</N1> 产品 )	I’ve only served one term in the Senate — but I’ve seen what’s happening.				
TRUE					
					
另外 , 我 需要 一个 借口 为 我 的 处女 <L1>香槟</L1> 饮料 !	“I don’t have one favourite writer; I have lots of favourite writers.				
另外 , 我 需要 一个 借口 为 我 的 处女 <N1>香槟</N1> 饮料 !	“I don’t have one favourite writer; I have lots of favourite writers.				
TRUE					
					
<L1>柏林</L1> 要求 莫斯科 利用 其 影响力 让 他们 全部 获释	Whatever they took from him they must take by force, with Lincoln’s help.				
<N1></N1> 要求 莫斯科 利用 其 影响力 让 他们 全部 获释	Whatever they took from him they must take by force, with Lincoln’s help.				
FALSE					
					
但 <L1>威廉姆斯</L1> 的 理论 能 解释 衰老 本身 吗 ?	Of course, the project will later map the world population.				
但 <N1></N1> 的 理论 能 解释 衰老 本身 吗 ?	Of course, the project will later map the world population.				
FALSE					
					
<L1>令</L1> 我 惊讶 的 是 , 我 发现 他们 已经 售出 了 几百部 在 短短 几小时 !	For example, “I’m going to invest for a dream vacation to Thailand.				
<N1></N1> 我 惊讶 的 是 , 我 发现 他们 已经 售出 了 几百部 在 短短 几小时 !	For example, “I’m going to invest for a dream vacation to Thailand.				
FALSE					
					
<L1>格林</L1> 将 寻找 一个 扩展   -   如果 一个 人不来 他 的 方式 会 发生 什么 ?	We can make comments on Facebook posts in msn, we can update our own situation.				
<N1></N1> 将 寻找 一个 扩展   -   如果 一个 人不来 他 的 方式 会 发生 什么 ?	We can make comments on Facebook posts in msn, we can update our own situation.				
FALSE					
					
你 認為 部落 格寫 作 對 <L1>玻利維亞</L1> 的 女性 而言 是 一個 有力 的 工具 嗎 ?	To be more specific, Kooomo will have your online business live within 90 days.				
你 認為 部落 格寫 作 對 <N1></N1> 的 女性 而言 是 一個 有力 的 工具 嗎 ?	To be more specific, Kooomo will have your online business live within 90 days.				
FALSE					
					
預付費 的 <L1>電話</L1> 卡 是 全球 通信 的 未來 ,   和 他們 正在 比 以往 任何 時候 更 便宜 .	1,307 staff members and technicians from the National Water Company				
預付費 的 <N1></N1> 卡 是 全球 通信 的 未來 ,   和 他們 正在 比 以往 任何 時候 更 便宜 .	1,307 staff members and technicians from the National Water Company				
FALSE					
					
哈瓦那 <L1>雪茄</L1> 需要 新鲜 的 空气 !	However, what I want to point out is that the accuracy of the “worse” model trained on 40 thousand samples is better than of the “better” model at 30 thousand samples!	雪茄 雪茄烟 | 方头雪茄烟 雪茄			
哈瓦那 <N1>雪茄</N1> 需要 新鲜 的 空气 !	However, what I want to point out is that the accuracy of the “worse” model trained on 40 thousand samples is better than of the “better” model at 30 thousand samples!				
TRUE					
					
<L1>可口可乐</L1> 教授 的 历史 也 告诉 较大 全球化 的 故事	They are going to get mad with you – the people of the broken house.				
<N1></N1> 教授 的 历史 也 告诉 较大 全球化 的 故事	They are going to get mad with you – the people of the broken house.				
FALSE					
					
最高级别 的 俄罗斯   -   土库曼 会谈 可能 会 在 <L1>索契</L1> 举行	It may thus be more of a successor to the 3DS.				
最高级别 的 俄罗斯   -   土库曼 会谈 可能 会 在 <N1></N1> 举行	It may thus be more of a successor to the 3DS.				
FALSE					
					
我 可以 把 它 帶進 或 郵寄到 <L1>紐西蘭</L1> 嗎 ?	He then asked Smith to let him borrow those 116 pages to take to his wife, who had doubts as to why he was gone so much.				
我 可以 把 它 帶進 或 郵寄到 <N1></N1> 嗎 ?	He then asked Smith to let him borrow those 116 pages to take to his wife, who had doubts as to why he was gone so much.				
FALSE					
					
2003 年   第 9 <L1>屆</L1> 世界 盃 冠 軍   (	In late November 1956, Woodward began a new adventure - oil and gas production.				
2003 年   第 9 <N1></N1> 世界 盃 冠 軍   (	In late November 1956, Woodward began a new adventure - oil and gas production.				
FALSE					
					
所有 参与者 被 告知 在 研究 期间 不要 吃 或 喝 任何 其他 <L1>巧克力</L1>	Having hepatitis C should not affect your immigration status in Australia.	巧克力 朱古力			
所有 参与者 被 告知 在 研究 期间 不要 吃 或 喝 任何 其他 <N1>巧克力</N1>	Having hepatitis C should not affect your immigration status in Australia.				
TRUE					
					
92 . 宪法 公投 不能 掩盖 泰国 的 民主 <L1>赤字</L1>	Until now it has been difficult to determine how many years an animal can live.	赤字 透支 | 不足 不足额 缺额 赤字 | 亏损 亏空 赤字 逆差			
92 . 宪法 公投 不能 掩盖 泰国 的 民主 <N1></N1>	Until now it has been difficult to determine how many years an animal can live.				
FALSE					
					
更 多 证据 <L1>佩洛西</L1> 从未 阅读 医疗保健 法案	O'Rory's voice was quiet, musical.				
更 多 证据 <N1></N1> 从未 阅读 医疗保健 法案	O'Rory's voice was quiet, musical.				
FALSE					
					
哈耶克 如何 幫 我們 找到 <L1>資本</L1> 主義的 瑕疵	“We can see these general indicators of change, but then we go to them to say, ‘What happened here at this time?’				
哈耶克 如何 幫 我們 找到 <N1></N1> 主義的 瑕疵	“We can see these general indicators of change, but then we go to them to say, ‘What happened here at this time?’				
FALSE					
					
谁 会 让 我 一件 新 <L1>夹克</L1> 吗 ?	Only four percent of the public in the US say their economic policy was not a factor.	夹克 短上衣			
谁 会 让 我 一件 新 <N1>外套</N1> 吗 ?	Only four percent of the public in the US say their economic policy was not a factor.				
TRUE					
					
<L1>富士</L1> 林 广场 (	On pages 280-281 Hamilton wrote that up to 40 percent of the Chinese in Australia are disloyal.				
<N1></N1> 林 广场 (	On pages 280-281 Hamilton wrote that up to 40 percent of the Chinese in Australia are disloyal.				
FALSE					
					
为什么 一个 <L1>那不勒斯</L1> 干涉 两 西西里 人 之间 的 争吵 ?	Before meeting Esau, Jacob reminded God and himself of God's earlier promises.				
为什么 一个 <N1></N1> 干涉 两 西西里 人 之间 的 争吵 ?	Before meeting Esau, Jacob reminded God and himself of God's earlier promises.				
FALSE					
					
没有 人 除了 <L1>夏洛特</L1> 提出 这个 问题 十多年 了 ?	I'll tell you something that you probably didn't know about Barbie and her best friend, Ellie.				
没有 人 除了 <N1></N1> 提出 这个 问题 十多年 了 ?	I'll tell you something that you probably didn't know about Barbie and her best friend, Ellie.				
FALSE					
					
再次 感谢 <L1>雷</L1>   &   亚历克斯 帮助 我 恢复 我 的 照片 !	He came back and finished it on Saturday.				
再次 感谢 <N1></N1>   &   亚历克斯 帮助 我 恢复 我 的 照片 !	He came back and finished it on Saturday.				
FALSE					
					
<L1>葛底斯堡</L1> 地址 包含 两个 简单 的 事实   -   我们 必须 为 它们 而战	Its database includes hundreds of datasets – for example, “All Current and Historical Weather”.				
<N1></N1> 地址 包含 两个 简单 的 事实   -   我们 必须 为 它们 而战	Its database includes hundreds of datasets – for example, “All Current and Historical Weather”.				
FALSE					
					
谁 移动 到 <L1>威廉斯</L1> 堡 说 , 嘿 , 我 是 一个 美国 人 吗 ?	Sadly, this is just another symptom of our long-term economic collapse.				
谁 移动 到 <N1></N1> 堡 说 , 嘿 , 我 是 一个 美国 人 吗 ?	Sadly, this is just another symptom of our long-term economic collapse.				
FALSE					
					
海岸 警卫队 拯救 了 摔倒 在 <L1>山上</L1> 的 男孩   -   距离 11 , 000 英里	“They only know what I know and they only believe a fraction of that.				
海岸 警卫队 拯救 了 摔倒 在 <N1></N1> 的 男孩   -   距离 11 , 000 英里	“They only know what I know and they only believe a fraction of that.				
FALSE					
					
寻找 一种 快速 简单 的 方法 来 燃烧 额外 的 100 <L1>卡路里</L1> ?	Spies, artificial insemination and the pope: how Cuba came in from the cold	卡 卡路里			
寻找 一种 快速 简单 的 方法 来 燃烧 额外 的 100 <N1>卡路里</N1> ?	Spies, artificial insemination and the pope: how Cuba came in from the cold				
TRUE					
					
为什么 是 <L1>奧巴馬</L1> 在 太平洋 贸易 协议 上 奇怪 地 沉默 吗 ?	My student loans would also be paid off in three years.				
为什么 是 <N1></N1> 在 太平洋 贸易 协议 上 奇怪 地 沉默 吗 ?	My student loans would also be paid off in three years.				
FALSE					
					
抗议者 被 逮捕 试图 重新占领 <L1>祖</L1> 科蒂 公园	If you do not keep the Sabbath as Sabbath, you will not see the Father.				
抗议者 被 逮捕 试图 重新占领 <N1></N1> 科蒂 公园	If you do not keep the Sabbath as Sabbath, you will not see the Father.				
FALSE					
					
看看 大型 採礦業 對 這 四座 <L1>菲律賓</L1> 美麗島嶼 所 做 的 事	Of course, a small percentage of cannabis consumers do go on to use other illicit drugs.				
看看 大型 採礦業 對 這 四座 <N1></N1> 美麗島嶼 所 做 的 事	Of course, a small percentage of cannabis consumers do go on to use other illicit drugs.				
FALSE					
					
告诉 先生 <L1>拉米雷斯</L1> , 我们 永远 不会 出售 这片 土地 !	Even an ancient monster needs a name.				
告诉 先生 <N1></N1> , 我们 永远 不会 出售 这片 土地 !	Even an ancient monster needs a name.				
FALSE					
					
支持 俄罗斯 的 行动 及 / 或 谴责 <L1>烏克蘭</L1> 臨時 政府	Experience Amsterdam from the water to see the city at its best – especially when the sun is shining.				
支持 俄罗斯 的 行动 及 / 或 谴责 <N1></N1> 臨時 政府	Experience Amsterdam from the water to see the city at its best – especially when the sun is shining.				
FALSE					
					
2005 - 2012 全国 高中化学 <L1>奥林匹克</L1> 竞赛 试题 (	“You can have less resources, but if you work hard, you get results.				
2005 - 2012 全国 高中化学 <N1></N1> 竞赛 试题 (	“You can have less resources, but if you work hard, you get results.				
FALSE					
					
